scene	fixationindex	timestamp	fixationduration	mappedfixationpointx	mappedfixationpointy
part1part1	150	59978	125	407	454
part1part1	151	60128	583	329	468
part1part1	152	60736	183	392	473
part1part1	153	61052	108	463	472
part1part1	154	61194	133	534	469
part1part1	155	61568	216	332	493
part1part1	156	61810	167	393	492
part1part1	157	62001	150	452	497
part1part1	158	62185	383	534	494
part1part1	159	62584	150	496	498
part1part1	160	62768	225	323	514
part1part1	161	63026	166	408	514
part1part1	162	63217	208	453	516
part1part1	163	63459	125	536	509
part1part1	164	63625	266	331	529
part1part1	165	63942	158	505	150
part1part1	166	64108	225	507	121
part1part1	167	64358	200	581	120
part1part1	168	64583	175	656	116
part1part1	169	64800	175	784	112
part1part1	170	65008	266	860	105
part1part1	171	65299	100	908	99
part1part1	172	65449	150	572	130
part1part1	173	65616	391	532	142
part1part1	174	66057	150	333	416
part1part1	175	66215	291	322	442
part1part1	176	66515	150	314	470
part1part1	177	66690	217	417	468
part1part1	178	66940	142	507	464
part1part1	179	67106	83	548	463
part1part1	180	67231	200	319	487
part1part1	181	67464	192	389	491
part1part1	182	67673	475	340	526
part1part1	183	68189	158	547	527
part1part1	184	68389	241	771	571
part1part1	185	68647	266	814	574
part1part1	186	68980	133	572	109
part1part1	187	69130	300	518	116
part1part1	188	69488	167	805	112
part1part1	189	69688	375	910	106
part1part1	190	70096	591	1018	79
part1part1	191	70729	341	773	143
part1part1	192	71104	83	695	168
part1part1	193	71220	142	610	220
part1part1	194	71379	217	579	229
part1part1	195	71620	158	576	160
part1part1	196	71820	217	660	229
part1part1	197	72086	192	792	563
part1part1	198	72286	192	793	585
part1part1	199	72495	233	768	580
part1part1	200	72794	358	1006	172
part1part1	201	73202	150	660	130
part1part1	202	73394	217	434	74
part1part1	203	73644	133	380	163
part1part1	204	73794	208	414	181
part1part1	205	74035	233	347	130
part1part1	206	74277	216	325	124
part1part1	207	74526	158	386	129
part1part1	208	74701	158	432	127
part1part1	209	74876	142	472	134
part1part1	210	75051	192	609	188
part1part1	211	75276	175	681	184
part1part1	212	75476	183	752	183
part1part1	213	75676	167	814	186
part1part1	214	75867	266	902	182
part1part1	215	76300	150	657	205
part1part1	216	76459	167	627	209
part1part1	217	76650	217	702	208
part1part1	218	76900	217	821	206
part1part1	219	77150	308	940	195
part1part1	220	77508	291	624	225
part1part1	221	77841	142	429	197
part1part1	222	77991	300	410	185
part1part1	223	78332	192	632	266
part1part1	224	78549	125	677	268
part1part1	225	78699	158	614	271
part1part1	226	78899	308	425	226
part1part1	227	79240	183	333	249
part1part1	228	79457	167	426	255
part1part1	229	79632	142	404	257
