scene	timestamp	rawpupilsize	pupilvelocity	headdistance	is_valid_pupil	is_valid_headdistance	stimuliname
P17part1	72729	2.42	0.003125	626.98	TRUE	TRUE	ScreenRec
P17part1	72738	2.39	0.003333333	627.04	TRUE	TRUE	ScreenRec
P17part1	72746	2.42	0.00375	627.06	TRUE	TRUE	ScreenRec
P17part1	72754	2.43	0.00125	627.07	TRUE	TRUE	ScreenRec
P17part1	72763	2.425	0.000555556	627.06	TRUE	TRUE	ScreenRec
P17part1	72771	2.43	0.000625	627.05	TRUE	TRUE	ScreenRec
P17part1	72779	2.415	0.001875	627.03	TRUE	TRUE	ScreenRec
P17part1	72788	2.415	0	626.95	TRUE	TRUE	ScreenRec
P17part1	72796	2.415	0	626.92	TRUE	TRUE	ScreenRec
P17part1	72804	2.44	0.003125	626.96	TRUE	TRUE	ScreenRec
P17part1	72813	2.465	0.002777778	626.96	TRUE	TRUE	ScreenRec
P17part1	72821	2.445	0.0025	627	TRUE	TRUE	ScreenRec
P17part1	72829	2.44	0.000625	627.11	TRUE	TRUE	ScreenRec
P17part1	72838	2.425	0.001666667	627.14	TRUE	TRUE	ScreenRec
P17part1	72846	2.425	0	627.03	TRUE	TRUE	ScreenRec
P17part1	72854	2.465	0.005	627.04	TRUE	TRUE	ScreenRec
P17part1	72863	2.435	0.003333333	627.13	TRUE	TRUE	ScreenRec
P17part1	72871	2.4	0.004375	627.05	TRUE	TRUE	ScreenRec
P17part1	72879	2.425	0.003125	627.02	TRUE	TRUE	ScreenRec
P17part1	72888	2.425	0	627.14	TRUE	TRUE	ScreenRec
P17part1	72896	2.42	0.000625	627.15	TRUE	TRUE	ScreenRec
P17part1	72904	2.44	0.0025	627.13	TRUE	TRUE	ScreenRec
P17part1	72913	2.42	0.002222222	627.21	TRUE	TRUE	ScreenRec
P17part1	72921	2.365	0.006875	627.16	TRUE	TRUE	ScreenRec
P17part1	72929	2.385	0.0025	627.09	TRUE	TRUE	ScreenRec
P17part1	72938	2.405	0.002222222	627.17	TRUE	TRUE	ScreenRec
P17part1	72946	2.375	0.00375	627.2	TRUE	TRUE	ScreenRec
P17part1	72954	2.4	0.003125	627.02	TRUE	TRUE	ScreenRec
P17part1	72963	2.41	0.001111111	626.9	TRUE	TRUE	ScreenRec
P17part1	72971	2.39	0.0025	626.87	TRUE	TRUE	ScreenRec
P17part1	72979	2.415	0.003125	626.91	TRUE	TRUE	ScreenRec
P17part1	72988	2.425	0.001111111	627.02	TRUE	TRUE	ScreenRec
P17part1	72996	2.405	0.0025	627.18	TRUE	TRUE	ScreenRec
P17part1	73004	2.385	0.0025	627.3	TRUE	TRUE	ScreenRec
P17part1	73013	2.375	0.001111111	627.31	TRUE	TRUE	ScreenRec
P17part1	73021	2.395	0.0025	627.38	TRUE	TRUE	ScreenRec
P17part1	73029	2.415	0.0025	627.53	TRUE	TRUE	ScreenRec
P17part1	73038	2.38	0.003888889	627.67	TRUE	TRUE	ScreenRec
P17part1	73046	2.365	0.001875	627.74	TRUE	TRUE	ScreenRec
P17part1	73054	2.355	0.00125	627.83	TRUE	TRUE	ScreenRec
P17part1	73063	2.38	0.002777778	627.94	TRUE	TRUE	ScreenRec
P17part1	73071	2.44	0.0075	632.29	TRUE	TRUE	ScreenRec
P17part1	73079	2.425	0.001875	636.1	TRUE	TRUE	ScreenRec
P17part1	73088	2.355	0.007777778	633.38	TRUE	TRUE	ScreenRec
P17part1	73096	2.3	0.0025	0	TRUE	FALSE	ScreenRec
P17part1	73104	2.315	0.00875	629.38	TRUE	TRUE	ScreenRec
P17part1	73112	2.4	0.00375	0	TRUE	FALSE	ScreenRec
P17part1	73121	2.39	0.005555556	640.37	TRUE	TRUE	ScreenRec
P17part1	73129	2.405	0.001875	640.36	TRUE	TRUE	ScreenRec
P17part1	73137	2.38	0.003125	634.82	TRUE	TRUE	ScreenRec
P17part1	73146	2.325	0.006111111	629.14	TRUE	TRUE	ScreenRec
P17part1	73154	-1	-1	-1	FALSE	FALSE	ScreenRec
P17part1	73162	-1	-1	-1	FALSE	FALSE	ScreenRec
P17part1	73171	-1	-1	-1	FALSE	FALSE	ScreenRec
P17part1	73179	-1	-1	-1	FALSE	FALSE	ScreenRec
P17part1	73187	-1	-1	-1	FALSE	FALSE	ScreenRec
P17part1	73196	-1	-1	-1	FALSE	FALSE	ScreenRec
P17part1	73204	-1	-1	-1	FALSE	FALSE	ScreenRec
P17part1	73212	-1	-1	-1	FALSE	FALSE	ScreenRec
P17part1	73221	-1	-1	-1	FALSE	FALSE	ScreenRec
P17part1	73229	-1	-1	-1	FALSE	FALSE	ScreenRec
P17part1	73237	-1	-1	-1	FALSE	FALSE	ScreenRec
P17part1	73246	-1	-1	-1	FALSE	FALSE	ScreenRec
P17part1	73254	-1	-1	-1	FALSE	FALSE	ScreenRec
P17part1	73262	-1	-1	-1	FALSE	FALSE	ScreenRec
P17part1	73271	2.235	-1	636.21	TRUE	TRUE	ScreenRec
P17part1	73279	2.225	0.00125	631.77	TRUE	TRUE	ScreenRec
P17part1	73287	2.235	0.00125	630.77	TRUE	TRUE	ScreenRec
P17part1	73296	2.22	0.001666667	630.01	TRUE	TRUE	ScreenRec
