scene	saccadeindex	timestamp	saccadeduration	saccadedistance	saccadespeed	saccadeacceleration	saccadestartpointx	saccadestartpointy	saccadeendpointx	saccadeendpointy	saccadequality
P16part1	152	59928	50	246.405486026	4.92810972052	-1	633	374	405	450	1.0
P16part1	153	60094	34	74.0045388358	2.17660408341	-1	405	458	334	478	1.0
P16part1	154	60702	34	58.9313484954	1.73327495575	-1	330	470	388	470	1.0
P16part1	156	61152	42	74.2730469118	1.76840587885	-1	462	471	536	467	1.0
P16part1	158	61777	33	53.2379454376	1.61327107387	-1	336	494	387	491	1.0
P16part1	159	61968	33	59.6821675628	1.80855053221	-1	394	496	453	494	1.0
P16part1	160	62143	42	90.0320837628	2.14362104197	-1	449	496	536	487	1.0
P16part1	161	62559	25	39.9683686415	1.59873474566	-1	531	499	492	497	1.0
P16part1	162	62726	42	182.916669479	4.35515879711	-1	498	495	317	514	1.0
P16part1	163	62984	42	86.6675023681	2.06351196114	-1	322	511	408	513	1.0
P16part1	164	63184	33	51.0617721264	1.54732642807	-1	410	522	454	516	1.0
P16part1	165	63417	42	82.7996860846	1.97142109725	-1	454	513	535	515	1.0
P16part1	166	63575	50	203.066928533	4.06133857066	-1	538	507	337	528	1.0
P16part1	167	63883	59	424.04508688	7.18720486238	-1	320	529	504	151	1.0
P16part1	168	64092	16	28.2900405572	1.76812753482	-1	507	148	507	120	1.0
P16part1	169	64325	33	70.4909425948	2.13608916954	-1	509	123	576	120	1.0
P16part1	170	64550	33	65.6958355024	1.99078289401	-1	586	119	651	116	1.0
P16part1	171	64750	50	130.849420032	2.61698840064	-1	656	118	785	112	1.0
P16part1	172	64966	42	77.1936093641	1.8379430801	-1	783	112	859	104	1.0
P16part1	173	65266	33	47.8018643928	1.44854134524	-1	860	106	906	96	1.0
P16part1	174	65391	58	337.679638744	5.82206273697	-1	909	99	576	129	1.0
P16part1	175	65591	25	40.6408433624	1.6256337345	-1	573	131	534	139	1.0
P16part1	176	65999	58	333.990603758	5.75845868547	-1	524	146	330	415	1.0
P16part1	177	66199	16	25.4981609508	1.59363505942	-1	332	416	324	440	1.0
P16part1	178	66498	17	20.1803398875	1.18707881691	-1	319	447	314	466	1.0
P16part1	179	66657	33	102.389527647	3.10271295901	-1	312	472	414	467	1.0
P16part1	180	66898	42	90.7339330491	2.16033173926	-1	419	467	509	468	1.0
P16part1	181	67073	33	41.7241267686	1.26436747784	-1	508	464	548	465	1.0
P16part1	182	67181	50	230.553265818	4.61106531635	-1	547	464	318	482	1.0
P16part1	183	67423	41	66.7344902852	1.62767049476	-1	319	489	385	490	1.0
P16part1	184	67648	25	57.5829051384	2.30331620554	-1	389	490	338	516	1.0
P16part1	185	68139	50	211.012986976	4.22025973952	-1	339	529	549	527	1.0
P16part1	186	68339	50	229.49829375	4.589965875	-1	546	527	772	566	1.0
P16part1	187	68622	25	40.4019462897	1.61607785159	-1	772	573	812	572	1.0
P16part1	188	68905	75	529.375461038	7.05833948051	-1	814	576	572	110	1.0
P16part1	189	69105	25	54.8086701511	2.19234680605	-1	573	110	519	103	1.0
P16part1	190	69421	67	287.596723942	4.29248841705	-1	518	118	804	108	1.0
P16part1	191	69646	42	98.8708875943	2.35406875224	-1	808	112	906	105	1.0
P16part1	192	70054	42	123.949968108	2.95118971687	-1	905	112	1022	75	1.0
P16part1	193	70679	50	243.425605551	4.86851211102	-1	1012	88	778	130	1.0
P16part1	194	71062	42	82.0327999318	1.95316190314	-1	769	146	694	168	1.0
P16part1	195	71179	41	101.818412611	2.48337591733	-1	695	170	609	220	1.0
P16part1	196	71354	25	34.6651401121	1.38660560448	-1	611	219	578	229	1.0
P16part1	197	71587	33	65.3651653541	1.98076258649	-1	580	225	571	161	1.0
P16part1	198	71770	50	114.710917538	2.29421835076	-1	573	160	662	229	1.0
P16part1	199	72028	58	360.240959349	6.21105102326	-1	661	229	797	559	1.0
P16part1	200	72270	16	19.2534241653	1.20333901033	-1	791	568	794	587	1.0
P16part1	201	72470	25	31.2343688755	1.24937475502	-1	795	584	766	574	1.0
P16part1	202	72719	75	491.598670844	6.55464894459	-1	766	582	1015	165	1.0
P16part1	203	73144	58	285.745117332	4.926639954	-1	967	177	698	129	1.0
P16part1	204	73344	50	195.965167522	3.91930335043	-1	628	128	447	72	1.0
P16part1	205	73602	42	100.701254797	2.39764892374	-1	429	79	377	160	1.0
P16part1	206	73769	25	37.456895096	1.49827580384	-1	381	164	414	180	1.0
P16part1	207	73993	42	92.5520555977	2.20362037137	-1	416	182	343	127	1.0
P16part1	208	74260	17	21.3012491876	1.25301465809	-1	346	130	328	120	1.0
P16part1	209	74485	41	62.6129562457	1.52714527429	-1	322	125	384	130	1.0
P16part1	210	74676	25	37.0498756211	1.48199502484	-1	390	128	427	127	1.0
P16part1	211	74851	25	38.6443656453	1.54577462581	-1	431	130	469	133	1.0
P16part1	212	75009	42	151.11927382	3.59807794809	-1	470	133	610	181	1.0
P16part1	213	75234	42	71.6824365829	1.70672468054	-1	608	190	679	184	1.0
P16part1	214	75443	33	67.4779810103	2.04478730334	-1	681	185	748	179	1.0
P16part1	215	75651	25	55.3910424364	2.21564169746	-1	751	188	806	183	1.0
P16part1	216	75834	33	86.8321298263	2.6312766614	-1	814	187	900	181	1.0
