scene	saccadeindex	timestamp	saccadeduration	saccadedistance	saccadespeed	saccadeacceleration	saccadestartpointx	saccadestartpointy	saccadeendpointx	saccadeendpointy	saccadequality
P18part1	104	66998	42	176.293826323	4.1974720553	-1	642	329	600	188	1.0
P18part1	105	67282	50	231.064289753	4.62128579505	-1	602	189	427	321	1.0
P18part1	106	67440	58	301.843265583	5.2041942342	-1	427	328	489	121	1.0
P18part1	107	67673	33	89.5649629857	2.71408978744	-1	497	126	575	121	1.0
P18part1	108	67881	33	103.210537987	3.12759206023	-1	577	127	658	117	1.0
P18part1	109	68039	42	169.541350148	4.03669881306	-1	664	130	807	138	1.0
P18part1	110	68248	33	120.155531942	3.64107672552	-1	802	141	919	127	1.0
P18part1	111	68572	50	247.1408973	4.942817946	-1	922	126	684	134	1.0
P18part1	112	68731	41	147.059423011	3.58681519539	-1	690	133	549	143	1.0
P18part1	113	69030	42	230.354227888	5.48462447353	-1	538	149	763	155	1.0
P18part1	114	69264	33	130.429112122	3.95239733704	-1	760	156	883	152	1.0
P18part1	115	69513	50	322.829186025	6.4565837205	-1	882	146	580	192	1.0
P18part1	116	69838	42	131.734507359	3.1365358895	-1	594	200	709	204	1.0
P18part1	117	70038	42	133.512592959	3.17887126092	-1	713	222	819	223	1.0
P18part1	118	70246	34	93.7584060176	2.75760017699	-1	820	216	910	222	1.0
P18part1	119	70488	33	97.6577633946	2.95932616347	-1	909	222	823	229	1.0
P18part1	120	70696	58	279.53156877	4.81950980638	-1	812	242	1045	149	1.0
P18part1	121	70888	25	43.912060294	1.75648241176	-1	1049	136	1011	156	1.0
P18part1	122	71121	100	883.871843197	8.83871843197	-1	1021	139	330	392	1.0
P18part1	123	71370	25	43.5704137135	1.74281654854	-1	332	399	304	422	1.0
P18part1	124	71579	33	121.873840157	3.69314667143	-1	304	414	413	426	1.0
P18part1	125	71795	33	96.3572582148	2.9199169156	-1	414	426	477	430	1.0
P18part1	126	72012	25	65.0936586256	2.60374634503	-1	482	432	547	429	1.0
P18part1	127	72178	59	279.935690321	4.74467271731	-1	546	432	290	442	1.0
P18part1	128	72486	34	110.348716031	3.24555047149	-1	293	442	399	448	1.0
P18part1	129	72770	33	67.6969571873	2.05142294507	-1	385	444	324	442	1.0
P18part1	130	72961	33	113.870739527	3.45062847051	-1	325	448	438	440	1.0
P18part1	131	73211	33	77.3670608862	2.34445639049	-1	438	438	500	448	1.0
P18part1	132	73377	25	45.3695219262	1.81478087705	-1	498	442	455	452	1.0
P18part1	133	73669	25	35.146210504	1.40584842016	-1	456	452	473	426	1.0
P18part1	134	73919	41	159.249594561	3.88413645272	-1	480	414	333	435	1.0
P18part1	135	74094	33	55.7238216065	1.68860065474	-1	340	431	287	434	1.0
P18part1	136	74302	33	144.144507187	4.3680153693	-1	297	427	425	440	1.0
P18part1	137	74493	34	99.3560106736	2.92223560805	-1	424	428	516	429	1.0
P18part1	138	74685	42	68.2155955875	1.62418084732	-1	515	422	558	462	1.0
P18part1	139	75085	41	152.648217371	3.72312725296	-1	545	465	415	418	1.0
P18part1	140	75243	33	90.7237022497	2.74920309848	-1	391	410	310	410	1.0
P18part1	141	75376	42	143.317701361	3.41232622287	-1	312	413	429	386	1.0
P18part1	142	76475	34	83.0366756131	2.44225516509	-1	445	381	494	443	1.0
P18part1	143	76734	33	84.6230297098	2.56433423363	-1	491	426	568	445	1.0
P18part1	144	76942	25	57.4694201262	2.29877680505	-1	567	464	510	462	1.0
P18part1	145	77192	25	62.2195444573	2.48878177829	-1	508	471	568	477	1.0
P18part1	146	77367	49	280.944955616	5.73357052278	-1	572	475	292	473	1.0
P18part1	147	77683	33	81.9488452421	2.48329834067	-1	308	497	384	493	1.0
P18part1	148	77875	33	97.5585075676	2.95631841114	-1	381	480	471	482	1.0
P18part1	149	78024	34	52.9720444429	1.55800130715	-1	470	487	422	488	1.0
P18part1	150	78241	41	143.141559294	3.49125754375	-1	428	490	569	486	1.0
P18part1	151	78474	25	45.9374142767	1.83749657107	-1	561	494	603	484	1.0
P18part1	152	78591	50	280.686322009	5.61372644018	-1	604	486	330	502	1.0
P18part1	153	78774	33	51.0496208414	1.54695820732	-1	333	505	286	516	1.0
P18part1	154	78999	33	113.25003585	3.43181926819	-1	285	502	390	493	1.0
P18part1	155	79182	33	122.327101128	3.70688185235	-1	378	497	492	516	1.0
P18part1	156	79390	25	84.052721207	3.36210884828	-1	486	509	568	498	1.0
P18part1	157	79607	50	226.311625093	4.52623250186	-1	567	510	357	508	1.0
P18part1	158	79798	33	82.1136642278	2.48829285539	-1	363	513	301	510	1.0
P18part1	159	79981	50	225.991570291	4.51983140581	-1	294	516	513	494	1.0
P18part1	160	80156	34	64.5892475957	1.89968375282	-1	519	488	566	518	1.0
P18part1	161	80340	49	191.55333799	3.90925179571	-1	570	510	463	391	1.0
P18part1	162	81330	42	113.60956594	2.70498966524	-1	437	397	346	407	1.0
P18part1	163	81539	33	52.4614001551	1.58973939864	-1	332	402	290	421	1.0
P18part1	164	81947	25	68.0266689671	2.72106675868	-1	292	423	351	415	1.0
P18part1	165	82097	25	31.4215740374	1.2568629615	-1	343	425	312	424	1.0
P18part1	166	82230	42	97.7713719985	2.32788980949	-1	322	422	415	421	1.0
P18part1	167	82455	33	88.4895187001	2.68150056667	-1	418	435	505	427	1.0
P18part1	168	82663	25	60.4330683786	2.41732273515	-1	501	430	560	423	1.0
P18part1	171	83013	33	67.3511777011	2.04094477882	-1	378	455	445	452	1.0
P18part1	172	83138	33	85.0724196037	2.5779521092	-1	432	450	513	447	1.0
P18part1	173	83404	25	58.4281820427	2.33712728171	-1	508	444	547	442	1.0
P18part1	174	83529	58	255.600064691	4.40689766708	-1	550	455	310	481	1.0
P18part1	175	83945	34	78.8897687396	2.32028731587	-1	285	470	360	481	1.0
P18part1	176	84220	42	107.96486533	2.57059203166	-1	350	478	440	450	1.0
P18part1	177	84503	34	100.228514161	2.94789747532	-1	442	468	528	477	1.0
P18part1	178	84662	41	194.036042281	4.73258639709	-1	526	476	339	486	1.0
P18part1	179	84853	25	65.7755579013	2.63102231605	-1	342	482	277	485	1.0
P18part1	180	85145	41	212.508997559	5.18314628192	-1	281	485	464	460	1.0
P18part1	181	85361	33	96.7028372163	2.93038900655	-1	459	471	545	478	1.0
P18part1	182	85569	34	94.4733292248	2.77862733014	-1	543	465	489	389	1.0
P18part1	183	86819	41	95.8914521891	2.33881590705	-1	468	380	391	397	1.0
P18part1	184	86977	33	94.9868854036	2.87839046678	-1	372	401	304	409	1.0
P18part1	185	87177	33	57.0732305655	1.72949183532	-1	312	415	366	425	1.0
P18part1	186	87426	34	98.719340961	2.90351002826	-1	366	439	460	432	1.0
P18part1	187	87635	33	87.5086166982	2.65177626358	-1	455	434	523	431	1.0
P18part1	188	87893	25	46.2529956606	1.85011982643	-1	521	438	563	432	1.0
