scene	timestamp	event	event_key	x_coord	y_coord	key_code	key_name	description
part1part1	72807	LeftMouseClick	None	781	544	None	None	None
part1part1	83543	LeftMouseClick	None	469	298	None	None	None
part1part1	87591	LeftMouseClick	None	468	329	None	None	None
part1part1	90591	LeftMouseClick	None	435	324	None	None	None
part1part1	92031	LeftMouseClick	None	435	328	None	None	None
part1part1	97599	LeftMouseClick	None	430	226	None	None	None
part1part1	100759	LeftMouseClick	None	447	297	None	None	None
part1part1	104327	LeftMouseClick	None	440	367	None	None	None
part1part1	106519	LeftMouseClick	None	457	336	None	None	None
part1part1	111639	LeftMouseClick	None	449	299	None	None	None
part1part1	113119	LeftMouseClick	None	1042	253	None	None	None
part2part2	126791	LeftMouseClick	None	868	527	None	None	None
part2part2	135495	LeftMouseClick	None	936	113	None	None	None
part2part2	145023	LeftMouseClick	None	969	152	None	None	None
part2part2	162823	LeftMouseClick	None	498	333	None	None	None
part2part2	175830	LeftMouseClick	None	533	122	None	None	None
part2part2	188406	LeftMouseClick	None	536	327	None	None	None
part2part2	190878	LeftMouseClick	None	676	115	None	None	None
part2part2	198006	LeftMouseClick	None	537	331	None	None	None
part2part2	201086	LeftMouseClick	None	1098	172	None	None	None
part2part2	202998	LeftMouseClick	None	480	186	None	None	None
part2part2	206132	KeyPress	None	None	None	None	D2	None
part2part2	206204	KeyPress	None	None	None	None	D1	None
part2part2	206988	KeyPress	None	None	None	None	Tab	None
part2part2	208012	KeyPress	None	None	None	None	None	None
part2part2	208140	KeyPress	None	None	None	None	S	None
part2part2	208524	KeyPress	None	None	None	None	T	None
part2part2	208644	KeyPress	None	None	None	None	U	None
part2part2	208764	KeyPress	None	None	None	None	D	None
part2part2	208852	KeyPress	None	None	None	None	E	None
part2part2	209012	KeyPress	None	None	None	None	N	None
part2part2	209109	KeyPress	None	None	None	None	T	None
part2part2	209284	KeyPress	None	None	None	None	Tab	None
part2part2	209748	KeyPress	None	None	None	None	None	None
part2part2	210248	KeyPress	None	None	None	None	None	None
part2part2	210281	KeyPress	None	None	None	None	None	None
part2part2	210315	KeyPress	None	None	None	None	None	None
part2part2	210348	KeyPress	None	None	None	None	None	None
part2part2	210381	KeyPress	None	None	None	None	None	None
part2part2	210414	KeyPress	None	None	None	None	None	None
part2part2	210448	KeyPress	None	None	None	None	None	None
part2part2	210481	KeyPress	None	None	None	None	None	None
part2part2	210514	KeyPress	None	None	None	None	None	None
part2part2	210547	KeyPress	None	None	None	None	None	None
part2part2	210580	KeyPress	None	None	None	None	None	None
part2part2	210613	KeyPress	None	None	None	None	None	None
part2part2	210647	KeyPress	None	None	None	None	None	None
part2part2	210680	KeyPress	None	None	None	None	None	None
part2part2	210713	KeyPress	None	None	None	None	None	None
part2part2	210746	KeyPress	None	None	None	None	None	None
part2part2	210780	KeyPress	None	None	None	None	None	None
part2part2	210813	KeyPress	None	None	None	None	None	None
part2part2	210846	KeyPress	None	None	None	None	None	None
part2part2	210879	KeyPress	None	None	None	None	None	None
part2part2	210912	KeyPress	None	None	None	None	None	None
part2part2	210946	KeyPress	None	None	None	None	None	None
part2part2	210972	KeyPress	None	None	None	None	E	None
part2part2	211140	KeyPress	None	None	None	None	N	None
part2part2	211276	KeyPress	None	None	None	None	G	None
part2part2	211381	KeyPress	None	None	None	None	I	None
part2part2	211476	KeyPress	None	None	None	None	N	None
part2part2	211668	KeyPress	None	None	None	None	E	None
part2part2	211828	KeyPress	None	None	None	None	E	None
part2part2	212060	KeyPress	None	None	None	None	R	None
part2part2	212157	KeyPress	None	None	None	None	I	None
part2part2	212252	KeyPress	None	None	None	None	N	None
part2part2	212324	KeyPress	None	None	None	None	G	None
part2part2	212820	KeyPress	None	None	None	None	Tab	None
part2part2	214454	LeftMouseClick	None	434	348	None	None	None
part2part2	215558	LeftMouseClick	None	410	403	None	None	None
part2part2	216006	LeftMouseClick	None	440	411	None	None	None
part2part2	218542	LeftMouseClick	None	398	640	None	None	None
part2part2	220934	LeftMouseClick	None	434	459	None	None	None
part2part2	230078	LeftMouseClick	None	970	78	None	None	None
