scene	fixationindex	timestamp	fixationduration	mappedfixationpointx	mappedfixationpointy
main_taskpart1	94	67040	250	600	180
main_taskpart1	95	67332	117	430	327
main_taskpart1	96	67498	183	494	127
main_taskpart1	97	67706	183	577	126
main_taskpart1	98	67914	133	659	124
main_taskpart1	99	68081	175	806	132
main_taskpart1	100	68281	300	916	131
main_taskpart1	101	68622	117	691	131
main_taskpart1	102	68772	266	547	151
main_taskpart1	103	69072	200	763	155
main_taskpart1	104	69297	225	885	149
main_taskpart1	105	69563	283	585	198
main_taskpart1	106	69880	167	710	215
main_taskpart1	107	70080	175	819	220
main_taskpart1	108	70280	217	911	220
main_taskpart1	109	70521	183	817	238
main_taskpart1	110	70754	142	1044	143
main_taskpart1	111	70913	216	1021	157
main_taskpart1	112	71221	158	329	397
main_taskpart1	113	71395	191	305	417
main_taskpart1	114	71612	192	417	427
main_taskpart1	115	71828	192	481	432
main_taskpart1	116	72037	150	546	432
main_taskpart1	117	72237	258	299	447
main_taskpart1	118	72520	258	392	451
main_taskpart1	119	72803	167	330	446
main_taskpart1	120	72994	225	438	444
main_taskpart1	121	73244	142	501	446
main_taskpart1	122	73402	275	462	449
main_taskpart1	123	73694	233	477	422
main_taskpart1	124	73960	142	338	432
main_taskpart1	125	74127	183	293	431
main_taskpart1	126	74335	167	425	431
main_taskpart1	127	74527	166	512	430
main_taskpart1	128	74727	366	552	458
main_taskpart1	129	75126	125	403	409
main_taskpart1	130	75276	108	310	407
main_taskpart1	131	75418	1066	437	383
main_taskpart1	132	76509	233	489	434
main_taskpart1	133	76767	183	565	456
main_taskpart1	134	76967	233	513	464
main_taskpart1	135	77217	158	567	473
main_taskpart1	136	77416	275	301	486
main_taskpart1	137	77716	167	383	491
main_taskpart1	138	77908	125	467	482
main_taskpart1	139	78058	192	430	485
main_taskpart1	140	78282	200	566	488
main_taskpart1	141	78499	100	601	489
main_taskpart1	142	78641	142	333	501
main_taskpart1	143	78807	200	284	506
main_taskpart1	144	79032	158	389	500
main_taskpart1	145	79215	183	489	516
main_taskpart1	146	79415	200	565	509
main_taskpart1	147	79657	150	358	517
main_taskpart1	148	79831	158	302	519
main_taskpart1	149	80031	133	511	494
main_taskpart1	150	80190	158	567	517
main_taskpart1	151	80389	949	449	386
main_taskpart1	152	81372	175	336	408
main_taskpart1	153	81572	383	294	424
main_taskpart1	154	81972	133	349	425
main_taskpart1	155	82122	117	321	428
main_taskpart1	156	82272	191	411	430
main_taskpart1	157	82488	183	507	430
main_taskpart1	158	82688	67	560	427
main_taskpart1	159	82804	217	373	446
main_taskpart1	160	83046	100	439	448
main_taskpart1	161	83171	241	508	448
main_taskpart1	162	83429	108	550	451
main_taskpart1	163	83587	366	302	471
main_taskpart1	164	83979	250	352	470
main_taskpart1	165	84262	250	442	469
main_taskpart1	166	84537	133	525	470
main_taskpart1	167	84703	158	340	483
main_taskpart1	168	84878	275	283	483
main_taskpart1	169	85186	183	456	470
main_taskpart1	170	85394	183	543	469
main_taskpart1	171	85603	1224	472	383
main_taskpart1	172	86860	125	387	409
main_taskpart1	173	87010	175	307	416
main_taskpart1	174	87210	225	366	428
main_taskpart1	175	87460	183	458	440
main_taskpart1	176	87668	233	520	438
main_taskpart1	177	87918	125	560	433
main_taskpart1	178	88084	183	317	453
main_taskpart1	179	88301	150	389	451
main_taskpart1	180	88476	325	279	448
main_taskpart1	181	88825	183	361	450
main_taskpart1	182	89025	175	410	450
main_taskpart1	183	89234	108	492	453
main_taskpart1	184	89367	200	551	449
main_taskpart1	185	89583	83	595	453
main_taskpart1	186	89708	158	325	462
main_taskpart1	187	89883	142	295	461
main_taskpart1	188	90050	200	390	461
main_taskpart1	189	90275	183	498	468
main_taskpart1	190	90499	241	314	487
main_taskpart1	191	90774	133	451	490
main_taskpart1	192	90949	350	814	548
main_taskpart1	193	91316	175	854	554
main_taskpart1	194	91515	200	803	553
main_taskpart1	195	91773	350	1019	181
main_taskpart1	196	92157	183	1070	116
main_taskpart1	197	92398	133	855	528
main_taskpart1	198	92556	483	808	555
main_taskpart1	199	93106	67	1173	510
main_taskpart1	200	93198	167	1264	455
main_taskpart1	201	93381	83	1279	497
main_taskpart1	202	93531	383	707	397
main_taskpart1	203	93972	167	673	196
main_taskpart1	204	94180	167	366	98
main_taskpart1	205	94372	133	349	150
main_taskpart1	206	94530	333	414	173
main_taskpart1	207	94905	158	595	191
main_taskpart1	208	95088	266	664	176
main_taskpart1	209	95388	208	778	180
main_taskpart1	210	95629	150	873	188
main_taskpart1	211	95804	150	948	188
main_taskpart1	212	95996	216	632	213
main_taskpart1	213	96246	166	714	211
main_taskpart1	214	96445	142	879	205
main_taskpart1	215	96612	217	957	209
main_taskpart1	216	96870	175	639	228
main_taskpart1	217	97811	217	639	218
main_taskpart1	218	98044	150	637	259
main_taskpart1	219	98219	341	719	264
main_taskpart1	220	98586	183	813	271
main_taskpart1	221	98785	92	858	275
main_taskpart1	222	98910	275	654	264
main_taskpart1	223	99202	100	695	263
main_taskpart1	224	99327	283	617	259
main_taskpart1	225	99627	225	685	269
main_taskpart1	226	99893	316	395	205
main_taskpart1	227	100226	283	436	212
main_taskpart1	228	100534	275	370	244
main_taskpart1	229	100834	291	423	245
main_taskpart1	230	101151	333	389	285
main_taskpart1	231	101492	175	402	253
main_taskpart1	232	101684	142	367	248
main_taskpart1	233	101842	383	401	269
main_taskpart1	234	102242	283	377	304
main_taskpart1	235	102541	258	420	311
main_taskpart1	236	102816	350	392	307
main_taskpart1	237	103191	158	355	309
main_taskpart1	238	103374	933	434	301
main_taskpart1	239	104332	183	430	158
main_taskpart1	240	104532	566	393	130
main_taskpart1	241	105106	516	386	160
main_taskpart1	242	105664	200	399	361
main_taskpart1	243	105881	200	339	363
main_taskpart1	244	106114	500	416	362
main_taskpart1	245	106639	283	468	366
main_taskpart1	246	106947	308	404	357
main_taskpart1	247	107272	150	382	323
main_taskpart1	248	107438	192	359	325
main_taskpart1	249	107663	366	420	330
main_taskpart1	250	108046	350	390	312
main_taskpart1	251	108412	341	413	329
main_taskpart1	252	108771	758	403	301
main_taskpart1	253	109545	167	390	253
main_taskpart1	254	109728	550	403	211
main_taskpart1	255	110303	175	431	164
main_taskpart1	256	110494	575	398	161
main_taskpart1	257	111111	300	614	173
main_taskpart1	258	111444	250	409	207
main_taskpart1	259	111719	533	406	247
main_taskpart1	260	112268	217	372	281
main_taskpart1	261	112501	333	399	303
main_taskpart1	262	112860	325	400	237
main_taskpart1	263	113209	208	400	173
main_taskpart1	264	113442	175	424	229
main_taskpart1	265	113642	167	407	156
main_taskpart1	266	113842	608	412	257
main_taskpart1	267	114467	316	415	233
main_taskpart1	268	114808	325	419	277
main_taskpart1	269	115150	425	411	314
main_taskpart1	270	115583	550	399	331
main_taskpart1	271	116141	266	366	336
main_taskpart1	272	116424	167	333	360
main_taskpart1	273	116615	275	428	370
main_taskpart1	274	116907	341	399	370
main_taskpart1	275	117273	458	379	270
main_taskpart1	276	117740	458	408	272
main_taskpart1	277	118214	425	392	237
main_taskpart1	278	118656	175	432	240
main_taskpart1	279	118856	217	390	239
main_taskpart1	280	119255	375	409	246
main_taskpart1	281	119655	283	446	246
main_taskpart1	282	119980	341	700	271
main_taskpart1	283	120371	258	399	268
main_taskpart1	284	120646	700	407	296
main_taskpart1	285	121387	175	376	146
main_taskpart1	286	121570	341	404	154
main_taskpart1	287	121929	333	394	183
main_taskpart1	288	122270	350	378	226
main_taskpart1	289	122653	400	382	336
main_taskpart1	290	123069	208	418	333
main_taskpart1	291	123311	200	384	195
main_taskpart1	292	123561	475	397	319
main_taskpart1	293	124052	783	365	305
main_taskpart1	294	124852	216	422	299
main_taskpart1	295	125085	216	379	303
main_taskpart1	296	125326	308	368	246
main_taskpart1	297	125668	150	370	317
main_taskpart1	298	125834	158	358	359
main_taskpart1	299	126009	125	329	362
main_taskpart1	300	126159	366	437	367
main_taskpart1	301	126551	300	374	317
main_taskpart1	302	126883	366	361	193
main_taskpart1	303	127267	175	382	141
main_taskpart1	304	127483	167	277	204
main_taskpart1	305	127658	216	276	228
main_taskpart1	306	127908	167	342	325
main_taskpart1	307	128091	175	349	370
main_taskpart1	308	128292	200	423	367
main_taskpart1	309	128525	150	652	393
main_taskpart1	310	128692	150	633	366
main_taskpart1	311	128892	333	367	332
main_taskpart1	312	129241	266	423	335
main_taskpart1	313	129525	308	396	304
main_taskpart1	314	129849	175	437	305
main_taskpart1	315	130049	167	371	356
main_taskpart1	316	130233	183	321	360
main_taskpart1	317	130449	150	424	354
main_taskpart1	318	130624	400	368	233
main_taskpart1	319	131049	233	377	329
main_taskpart1	320	131298	300	362	350
main_taskpart1	321	131632	258	339	262
main_taskpart1	322	131915	241	435	269
main_taskpart1	323	132181	150	335	270
main_taskpart1	324	132364	391	438	270
main_taskpart1	325	132772	208	485	275
main_taskpart1	326	133014	266	377	336
main_taskpart1	327	133305	125	435	334
main_taskpart1	328	133464	183	364	361
main_taskpart1	329	133689	192	623	362
main_taskpart1	330	133922	175	409	324
main_taskpart1	331	134122	158	367	250
main_taskpart1	332	134296	300	400	239
main_taskpart1	333	134638	175	633	374
main_taskpart1	334	134829	208	667	363
main_taskpart1	335	135063	283	619	363
main_taskpart1	336	135379	167	792	366
main_taskpart1	337	135579	250	889	375
main_taskpart1	338	135846	142	956	381
main_taskpart1	339	136029	325	614	373
main_taskpart1	340	136395	216	690	360
main_taskpart1	341	136637	258	844	364
main_taskpart1	342	136920	108	922	370
main_taskpart1	343	137070	117	696	203
main_taskpart1	344	137211	366	648	179
main_taskpart1	345	137611	225	807	175
main_taskpart1	346	137886	158	657	381
main_taskpart1	347	138061	208	626	401
main_taskpart1	348	138286	150	684	394
main_taskpart1	349	138469	183	771	399
main_taskpart1	350	138677	158	846	404
main_taskpart1	351	138860	83	909	409
main_taskpart1	352	138977	142	663	454
main_taskpart1	353	139143	358	695	466
main_taskpart1	354	139535	283	663	602
main_taskpart1	355	139851	342	731	600
main_taskpart1	356	140234	783	965	591
main_taskpart1	357	141500	225	663	586
main_taskpart1	358	141750	475	747	597
main_taskpart1	359	142375	142	1003	231
main_taskpart1	360	142541	192	1083	164
main_taskpart1	361	142783	133	652	272
main_taskpart1	362	142958	233	402	269
main_taskpart1	363	143216	192	445	269
main_taskpart1	364	143432	341	364	302
main_taskpart1	365	143799	217	406	258
main_taskpart1	366	144040	158	339	260
main_taskpart1	367	144232	191	203	142
main_taskpart1	368	144465	200	426	279
main_taskpart1	369	144673	208	457	265
main_taskpart1	370	144906	450	371	231
main_taskpart1	371	145389	350	369	352
main_taskpart1	372	145797	117	834	563
main_taskpart1	373	145939	208	959	590
main_taskpart1	374	146181	175	671	595
main_taskpart2	376	146722	200	671	363
main_taskpart2	377	146972	183	577	165
main_taskpart2	378	147196	133	407	94
main_taskpart2	379	147355	142	553	187
