scene	timestamp	rawpupilsize	pupilvelocity	headdistance	is_valid_pupil	is_valid_headdistance	stimuliname
part1part1	59728	3.645	0.000625	614.14	TRUE	TRUE	ScreenRec
part1part1	59736	3.645	0	614.11	TRUE	TRUE	ScreenRec
part1part1	59745	3.65	0.000555556	614.07	TRUE	TRUE	ScreenRec
part1part1	59753	3.64	0.00125	614.02	TRUE	TRUE	ScreenRec
part1part1	59761	3.625	0.001875	613.97	TRUE	TRUE	ScreenRec
part1part1	59769	3.625	0	613.95	TRUE	TRUE	ScreenRec
part1part1	59778	3.625	0	613.96	TRUE	TRUE	ScreenRec
part1part1	59786	3.62	0.000625	613.97	TRUE	TRUE	ScreenRec
part1part1	59794	3.62	0	613.96	TRUE	TRUE	ScreenRec
part1part1	59803	3.615	0.000555556	613.91	TRUE	TRUE	ScreenRec
part1part1	59811	3.6	0.001875	613.86	TRUE	TRUE	ScreenRec
part1part1	59819	3.6	0	613.86	TRUE	TRUE	ScreenRec
part1part1	59828	3.595	0.000555556	613.85	TRUE	TRUE	ScreenRec
part1part1	59836	3.59	0.000625	613.83	TRUE	TRUE	ScreenRec
part1part1	59844	3.58	0.00125	613.81	TRUE	TRUE	ScreenRec
part1part1	59853	3.58	0	613.78	TRUE	TRUE	ScreenRec
part1part1	59861	3.59	0.00125	613.75	TRUE	TRUE	ScreenRec
part1part1	59869	3.57	0.0025	613.73	TRUE	TRUE	ScreenRec
part1part1	59878	3.56	0.001111111	613.71	TRUE	TRUE	ScreenRec
part1part1	59886	3.56	0	613.69	TRUE	TRUE	ScreenRec
part1part1	59894	3.56	0	613.68	TRUE	TRUE	ScreenRec
part1part1	59903	3.545	0.001666667	613.68	TRUE	TRUE	ScreenRec
part1part1	59911	3.54	0.000625	613.7	TRUE	TRUE	ScreenRec
part1part1	59919	3.545	0.000625	613.78	TRUE	TRUE	ScreenRec
part1part1	59928	3.535	0.001111111	613.82	TRUE	TRUE	ScreenRec
part1part1	59936	3.535	0	613.94	TRUE	TRUE	ScreenRec
part1part1	59944	3.54	0.000625	613.73	TRUE	TRUE	ScreenRec
part1part1	59953	3.545	0.000555556	613.63	TRUE	TRUE	ScreenRec
part1part1	59961	3.545	0	613.98	TRUE	TRUE	ScreenRec
part1part1	59969	3.535	0.00125	613.91	TRUE	TRUE	ScreenRec
part1part1	59978	3.535	0	613.92	TRUE	TRUE	ScreenRec
part1part1	59986	3.53	0.000625	614.04	TRUE	TRUE	ScreenRec
part1part1	59994	3.52	0.00125	613.91	TRUE	TRUE	ScreenRec
part1part1	60003	3.53	0.001111111	613.89	TRUE	TRUE	ScreenRec
part1part1	60011	3.525	0.000625	613.86	TRUE	TRUE	ScreenRec
part1part1	60019	3.515	0.00125	613.84	TRUE	TRUE	ScreenRec
part1part1	60028	3.505	0.001111111	613.8	TRUE	TRUE	ScreenRec
part1part1	60036	3.505	0	613.75	TRUE	TRUE	ScreenRec
part1part1	60044	3.5	0.000625	613.67	TRUE	TRUE	ScreenRec
part1part1	60053	3.5	0	613.57	TRUE	TRUE	ScreenRec
part1part1	60061	3.49	0.00125	613.51	TRUE	TRUE	ScreenRec
part1part1	60069	3.485	0.000625	613.53	TRUE	TRUE	ScreenRec
part1part1	60078	3.48	0.000555556	613.45	TRUE	TRUE	ScreenRec
part1part1	60086	3.485	0.000625	613.34	TRUE	TRUE	ScreenRec
part1part1	60094	3.475	0.00125	613.33	TRUE	TRUE	ScreenRec
part1part1	60103	3.465	0.001111111	613.46	TRUE	TRUE	ScreenRec
part1part1	60111	3.455	0.00125	613.38	TRUE	TRUE	ScreenRec
part1part1	60119	3.445	0.00125	613.15	TRUE	TRUE	ScreenRec
part1part1	60128	3.44	0.000555556	613.16	TRUE	TRUE	ScreenRec
part1part1	60136	3.42	0.0025	613.07	TRUE	TRUE	ScreenRec
part1part1	60144	3.41	0.00125	612.95	TRUE	TRUE	ScreenRec
part1part1	60153	3.405	0.000555556	612.98	TRUE	TRUE	ScreenRec
part1part1	60161	3.39	0.001875	612.95	TRUE	TRUE	ScreenRec
part1part1	60169	3.38	0.00125	612.87	TRUE	TRUE	ScreenRec
part1part1	60178	3.385	0.000555556	612.83	TRUE	TRUE	ScreenRec
part1part1	60186	3.375	0.00125	612.75	TRUE	TRUE	ScreenRec
part1part1	60194	3.355	0.0025	612.67	TRUE	TRUE	ScreenRec
part1part1	60203	3.345	0.001111111	612.57	TRUE	TRUE	ScreenRec
part1part1	60211	3.345	0	612.52	TRUE	TRUE	ScreenRec
part1part1	60219	3.33	0.001875	612.48	TRUE	TRUE	ScreenRec
part1part1	60228	3.325	0.000555556	612.45	TRUE	TRUE	ScreenRec
part1part1	60236	3.325	0	612.33	TRUE	TRUE	ScreenRec
part1part1	60244	3.31	0.001875	612.25	TRUE	TRUE	ScreenRec
part1part1	60253	3.29	0.002222222	612.2	TRUE	TRUE	ScreenRec
part1part1	60261	3.29	0	612.1	TRUE	TRUE	ScreenRec
part1part1	60269	3.285	0.000625	611.96	TRUE	TRUE	ScreenRec
part1part1	60278	3.275	0.001111111	611.89	TRUE	TRUE	ScreenRec
part1part1	60286	3.27	0.000625	611.88	TRUE	TRUE	ScreenRec
part1part1	60294	3.27	0	611.88	TRUE	TRUE	ScreenRec
part1part1	60302	3.28	0.00125	611.83	TRUE	TRUE	ScreenRec
part1part1	60311	3.28	0	611.74	TRUE	TRUE	ScreenRec
part1part1	60319	3.265	0.001875	611.67	TRUE	TRUE	ScreenRec
part1part1	60327	3.265	5.55E-17	611.58	TRUE	TRUE	ScreenRec
part1part1	60336	3.26	0.000555556	611.46	TRUE	TRUE	ScreenRec
part1part1	60344	3.25	0.00125	611.38	TRUE	TRUE	ScreenRec
