scene	timestamp	rawpupilsize	pupilvelocity	headdistance	is_valid_pupil	is_valid_headdistance	stimuliname
P18part1	66815	3.73	0	629.21	TRUE	TRUE	ScreenRec
P18part1	66824	3.74	0.001111111	629.34	TRUE	TRUE	ScreenRec
P18part1	66832	3.735	0.000625	629.47	TRUE	TRUE	ScreenRec
P18part1	66840	3.72	0.001875	629.59	TRUE	TRUE	ScreenRec
P18part1	66849	3.79	0.001111111	0	TRUE	FALSE	ScreenRec
P18part1	66857	3.735	0	629.63	TRUE	TRUE	ScreenRec
P18part1	66865	3.725	0.00125	629.63	TRUE	TRUE	ScreenRec
P18part1	66874	3.735	0.001111111	629.96	TRUE	TRUE	ScreenRec
P18part1	66882	3.735	0	630.31	TRUE	TRUE	ScreenRec
P18part1	66890	3.73	0.000625	630.43	TRUE	TRUE	ScreenRec
P18part1	66898	3.72	0.00125	630.66	TRUE	TRUE	ScreenRec
P18part1	66907	3.725	0.000555556	630.82	TRUE	TRUE	ScreenRec
P18part1	66915	3.79	0.00125	0	TRUE	FALSE	ScreenRec
P18part1	66923	3.725	0.00125	630.86	TRUE	TRUE	ScreenRec
P18part1	66932	3.73	0.000555556	630.86	TRUE	TRUE	ScreenRec
P18part1	66940	3.74	0.00125	631.24	TRUE	TRUE	ScreenRec
P18part1	66948	3.73	0.00125	631.76	TRUE	TRUE	ScreenRec
P18part1	66957	3.725	0.000555556	632.02	TRUE	TRUE	ScreenRec
P18part1	66965	3.715	0.00125	632.15	TRUE	TRUE	ScreenRec
P18part1	66973	3.72	0.000625	632.23	TRUE	TRUE	ScreenRec
P18part1	66982	3.73	0.001111111	632.43	TRUE	TRUE	ScreenRec
P18part1	66990	3.72	0.00125	632.69	TRUE	TRUE	ScreenRec
P18part1	66998	3.73	0.00125	632.98	TRUE	TRUE	ScreenRec
P18part1	67007	3.735	0.000555556	633.3	TRUE	TRUE	ScreenRec
P18part1	67015	3.735	0	633.52	TRUE	TRUE	ScreenRec
P18part1	67023	3.735	0	633.6	TRUE	TRUE	ScreenRec
P18part1	67032	3.73	0.000555556	633.85	TRUE	TRUE	ScreenRec
P18part1	67040	3.73	0	634.23	TRUE	TRUE	ScreenRec
P18part1	67048	3.72	0.00125	634.55	TRUE	TRUE	ScreenRec
P18part1	67057	3.715	0.000555556	634.76	TRUE	TRUE	ScreenRec
P18part1	67065	3.725	0.00125	634.94	TRUE	TRUE	ScreenRec
P18part1	67073	3.72	0.000625	635.09	TRUE	TRUE	ScreenRec
P18part1	67082	3.73	0.001111111	635.2	TRUE	TRUE	ScreenRec
P18part1	67090	3.73	0	635.34	TRUE	TRUE	ScreenRec
P18part1	67098	3.72	0.00125	635.52	TRUE	TRUE	ScreenRec
P18part1	67107	3.715	0.000555556	635.66	TRUE	TRUE	ScreenRec
P18part1	67115	3.715	0	635.8	TRUE	TRUE	ScreenRec
P18part1	67123	3.72	0.000625	635.95	TRUE	TRUE	ScreenRec
P18part1	67132	3.715	0.000555556	636.1	TRUE	TRUE	ScreenRec
P18part1	67140	3.69	0.003125	636.22	TRUE	TRUE	ScreenRec
P18part1	67148	3.69	0	636.34	TRUE	TRUE	ScreenRec
P18part1	67157	3.7	0.001111111	636.57	TRUE	TRUE	ScreenRec
P18part1	67165	3.705	0.000625	636.8	TRUE	TRUE	ScreenRec
P18part1	67173	3.7	0.000625	636.94	TRUE	TRUE	ScreenRec
P18part1	67182	3.69	0.001111111	636.97	TRUE	TRUE	ScreenRec
P18part1	67190	3.685	0.000625	637.08	TRUE	TRUE	ScreenRec
P18part1	67198	3.675	0.00125	637.24	TRUE	TRUE	ScreenRec
P18part1	67207	3.67	0.000555556	637.35	TRUE	TRUE	ScreenRec
P18part1	67215	3.665	0.000625	637.47	TRUE	TRUE	ScreenRec
P18part1	67223	3.655	0.00125	637.69	TRUE	TRUE	ScreenRec
P18part1	67232	3.645	0.001111111	637.93	TRUE	TRUE	ScreenRec
P18part1	67240	3.635	0.00125	638.06	TRUE	TRUE	ScreenRec
P18part1	67248	3.625	0.00125	638.05	TRUE	TRUE	ScreenRec
P18part1	67257	3.62	0.000555556	638.04	TRUE	TRUE	ScreenRec
P18part1	67265	3.625	0.000625	638.11	TRUE	TRUE	ScreenRec
